Year,Month,Affiliate_ID,Ftt_Num,Approved_Num,Total_Fee,Approved_Fee,Criteria,Level,Organic,Status,Bank
2020,6,1,1372,0,0,0,,,Organic,,
2020,6,52f4368889cfc,411,411,15890000,15890000,VIPIIAffiliate,FTT > 100 Counts,,Rejected,ANZ
2020,6,530b00bc49efd,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2020,6,5334dcc3d215c,567,567,22130000,22130000,VIPIIAffiliate,FTT > 100 Counts,,Paid,NAB
2020,6,533a6d24038a8,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2020,6,533ffb6139522,112,112,3930000,3930000,VIPIIAffiliate,FTT > 100 Counts,,Paid,NAB
2020,6,534b66cb63ca8,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2020,6,536900e1ee0bf,5,5,150000,150000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2020,6,5369ab91098f0,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2020,6,53718280aa55c,2,0,60000,0,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2020,6,5399560b0bb25,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2020,6,53c4373f790c8,3,3,90000,90000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2020,6,53c634f86522e,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2020,6,53df212ba97bd,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2020,6,53e870e1e9907,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2020,6,53f35795d7461,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2020,6,540d6d664ad10,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2020,6,541026f8dcf5f,2,2,60000,60000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2020,6,54154213572ce,7,6,210000,180000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2020,6,5415d7f5b0e45,2,2,60000,60000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2020,6,541a77c4c04ec,2,2,60000,60000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2020,6,5424f1b1888a2,26,26,860000,860000,VIPIAffiliate,10 Counts < FTT <= 100 Counts,,Paid,NAB
2020,6,542a60ef961fb,2,2,60000,60000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2020,6,542a61ca09613,2,2,60000,60000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2020,6,5430025bbe104,5,5,150000,150000,NormalAffiliate,FTT >0 Counts,,Pending,ANZ
2020,6,5432a0709ef70,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2020,6,543f57c673f1a,27,27,895000,895000,VIPIAffiliate,10 Counts < FTT <= 100 Counts,,Paid,ANZ
2020,6,54446ccf0da2f,8,8,240000,240000,NormalAffiliate,FTT >0 Counts,,Unpaid_Bounce_Bank,ANZ
2020,6,544b97cabfaba,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2020,6,548c3aced2427,115,115,4050000,4050000,VIPIIAffiliate,FTT > 100 Counts,,Paid,NAB
2020,6,5493b1dd5d4a5,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2020,6,5497efe5c5a0a,3,3,90000,90000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2020,6,5497f0186b588,9,9,270000,270000,NormalAffiliate,FTT >0 Counts,,Rejected,NAB
2020,6,5497f058408ca,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2020,6,54a9405a42ba0,2,2,60000,60000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
