Year,Month,Affiliate_ID,Ftt_Num,Approved_Num,Total_Fee,Approved_Fee,Criteria,Level,Organic,Status,Bank
2020,3,1,1841,0,0,0,,,Organic,,
2020,3,52f4368889cfc,598,598,23370000,23370000,VIPIIAffiliate,FTT > 100 Counts,,Pending,ANZ
2020,3,532beeba1f721,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2020,3,5334dcc3d215c,179,179,6610000,6610000,VIPIIAffiliate,FTT > 100 Counts,,Paid,ANZ
2020,3,533ffb6139522,214,214,8010000,8010000,VIPIIAffiliate,FTT > 100 Counts,,Pending,ANZ
2020,3,5345dc5e451f5,2,2,60000,60000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2020,3,536900e1ee0bf,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2020,3,53718280aa55c,2,0,60000,0,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2020,3,53b3899abf3b7,4,4,120000,120000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2020,3,53c4373f790c8,2,2,60000,60000,NormalAffiliate,FTT >0 Counts,,Unpaid,ANZ
2020,3,53c634f86522e,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2020,3,53e1dba9bca76,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Unpaid_No_Bank,ANZ
2020,3,53f35795d7461,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2020,3,540e9fd98f489,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2020,3,541026f8dcf5f,2,2,60000,60000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2020,3,54145841a3be1,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2020,3,54154213572ce,5,5,150000,150000,NormalAffiliate,FTT >0 Counts,,Pending,NAB
2020,3,541a77c4c04ec,3,3,90000,90000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2020,3,5424f1b1888a2,3,3,90000,90000,NormalAffiliate,FTT >0 Counts,,Rejected,ANZ
2020,3,542a60275a881,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2020,3,542a607748dcc,3,3,90000,90000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2020,3,542a60ef961fb,17,17,545000,545000,VIPIAffiliate,10 Counts < FTT <= 100 Counts,,Paid,CBA
2020,3,542a610da6b9c,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2020,3,542a61ca09613,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2020,3,5430025bbe104,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Rejected,ANZ
2020,3,543392ea8bdbc,7,7,210000,210000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2020,3,543f57c673f1a,55,55,1875000,1875000,VIPIAffiliate,10 Counts < FTT <= 100 Counts,,Paid,CBA
2020,3,54446ccf0da2f,3,3,90000,90000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2020,3,54605b5d2c477,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2020,3,548c3aced2427,138,138,4970000,4970000,VIPIIAffiliate,FTT > 100 Counts,,Paid,CBA
2020,3,548e99ea7969d,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2020,3,5493b1dd5d4a5,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2020,3,5497efe5c5a0a,10,10,300000,300000,VIPIAffiliate,10 Counts < FTT <= 100 Counts,,Paid,CBA
2020,3,5497f0186b588,6,6,180000,180000,NormalAffiliate,FTT >0 Counts,,Pending,NAB
2020,3,5497f058408ca,2,2,60000,60000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2020,3,5497f08205bcc,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Pending,ANZ
2020,3,54a9405a42ba0,3,3,90000,90000,NormalAffiliate,FTT >0 Counts,,Unpaid_Bounce_Bank,ANZ
2020,3,54d18f3ba89ae,19,19,615000,615000,VIPIAffiliate,10 Counts < FTT <= 100 Counts,,Paid,CBA
2020,3,54d498277e7d8,7,7,210000,210000,NormalAffiliate,FTT >0 Counts,,Unpaid_Bounce_Bank,NAB
2020,3,55103bfb7f258,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2020,3,5558bf85703b0,437,437,16930000,16930000,VIPIIAffiliate,FTT > 100 Counts,,Paid,CBA
2020,3,5566bc04f0ff8,6,6,180000,180000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2020,3,5577a8c25ecec,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2020,3,55828e847e269,172,172,6330000,6330000,VIPIIAffiliate,FTT > 100 Counts,,Paid,NAB
2020,3,558bed6b45d45,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2020,3,55962743b5ed3,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2020,3,559cb8e9ef173,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Pending,NAB
2020,3,55a8a4d2d11ef,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2020,3,55af2f08bc595,27,27,895000,895000,VIPIAffiliate,10 Counts < FTT <= 100 Counts,,Paid,ANZ
2020,3,55c434d3577b9,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2020,3,55fbee0a23d12,2,2,60000,60000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2020,3,561dc640c93ac,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Rejected,CBA
2020,3,5636e753577ef,93,0,0,0,,,Organic,,
2020,3,56446054ee139,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2020,3,565ecf8b4ef1c,5,5,150000,150000,NormalAffiliate,FTT >0 Counts,,Unpaid_Bounce_Bank,ANZ
2020,3,566fa58ac8b2a,20,20,650000,650000,VIPIAffiliate,10 Counts < FTT <= 100 Counts,,Paid,NAB
2020,3,5672651f107a4,7,7,210000,210000,NormalAffiliate,FTT >0 Counts,,Rejected,ANZ
2020,3,568f8e5b5fd64,11,11,335000,335000,VIPIAffiliate,10 Counts < FTT <= 100 Counts,,Paid,CBA
2020,3,56a03e7e62ce1,4,4,120000,120000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2020,3,56a797e0d01da,6,6,180000,180000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
