Year,Month,Affiliate_ID,Ftt_Num,Approved_Num,Total_Fee,Approved_Fee,Criteria,Level,Organic,Status,Bank
2021,9,1,770,0,0,0,,,Organic,,
2021,9,52f4368889cfc,107,107,3730000,3730000,VIPIIAffiliate,FTT > 100 Counts,,Paid,ANZ
2021,9,5334dcc3d215c,203,203,7570000,7570000,VIPIIAffiliate,FTT > 100 Counts,,Paid,CBA
2021,9,533ffb6139522,27,27,895000,895000,VIPIAffiliate,10 Counts < FTT <= 100 Counts,,Paid,ANZ
2021,9,536c689718cd2,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2021,9,53765e58110b9,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,9,53c4373f790c8,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,9,53e870e1e9907,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2021,9,53f8bb35da7fa,2,2,60000,60000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2021,9,5424f1b1888a2,14,14,440000,440000,VIPIAffiliate,10 Counts < FTT <= 100 Counts,,Paid,NAB
2021,9,5430025bbe104,2,2,60000,60000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2021,9,543f57c673f1a,8,8,240000,240000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,9,548c3aced2427,109,109,3810000,3810000,VIPIIAffiliate,FTT > 100 Counts,,Rejected,CBA
2021,9,5497f0186b588,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Pending,NAB
2021,9,54d18f3ba89ae,8,8,240000,240000,NormalAffiliate,FTT >0 Counts,,Pending,NAB
2021,9,5558bf85703b0,7,7,210000,210000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2021,9,55828e847e269,114,114,4010000,4010000,VIPIIAffiliate,FTT > 100 Counts,,Paid,ANZ
2021,9,55962743b5ed3,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2021,9,55af2f08bc595,2,1,60000,30000,NormalAffiliate,FTT >0 Counts,,Rejected,NAB
2021,9,55c434d3577b9,16,16,510000,510000,VIPIAffiliate,10 Counts < FTT <= 100 Counts,,Paid,CBA
2021,9,55eed43891927,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2021,9,5636e753577ef,1,0,0,0,,,Organic,,
2021,9,565ecf8b4ef1c,5,5,150000,150000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,9,566fa58ac8b2a,11,4,335000,120000,VIPIAffiliate,10 Counts < FTT <= 100 Counts,,Rejected,ANZ
2021,9,5729bf44bb0de,2,2,60000,60000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2021,9,5742884d315d1,82,82,2820000,2820000,VIPIAffiliate,10 Counts < FTT <= 100 Counts,,Paid,NAB
2021,9,5796ffe48c3f5,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2021,9,57bbc42248953,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2021,9,57bd83971f065,21,21,685000,685000,VIPIAffiliate,10 Counts < FTT <= 100 Counts,,Paid,NAB
2021,9,57be95e019a26,5,5,150000,150000,NormalAffiliate,FTT >0 Counts,,Pending,CBA
2021,9,57d220fa4dbb4,3,3,90000,90000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2021,9,57d28b3c90d6a,8,5,240000,150000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,9,57d6134715200,2,2,60000,60000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,9,57ee390158513,2220,2214,88250000,88010000,VIPIIAffiliate,FTT > 100 Counts,,Paid,ANZ
2021,9,57f62b028f9b1,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,9,5804cc624de3a,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Rejected,CBA
2021,9,580581f5bfca0,3,3,90000,90000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2021,9,580e2bd70ac4c,4,0,120000,0,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2021,9,581b1c669430a,2,2,60000,60000,NormalAffiliate,FTT >0 Counts,,Rejected,ANZ
2021,9,582183503f991,536,535,20890000,20850000,VIPIIAffiliate,FTT > 100 Counts,,Pending,CBA
2021,9,5822e5030193f,14,7,440000,210000,VIPIAffiliate,10 Counts < FTT <= 100 Counts,,Unpaid_No_Bank,ANZ
2021,9,582c083f47fea,6,6,180000,180000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,9,58369afbdfda3,5,3,150000,90000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,9,58378e7f81041,4,4,120000,120000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2021,9,58390db6cd5a9,4,4,120000,120000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,9,5850cfc1b4328,2,2,60000,60000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,9,586212a75fee9,5,1,150000,30000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2021,9,586b4c7d7c272,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2021,9,58751b0c7cf5b,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,9,5.8807E+68,6,6,180000,180000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2021,9,588613046b875,6,2,180000,60000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2021,9,58904d0598366,114,113,4010000,3970000,VIPIIAffiliate,FTT > 100 Counts,,Pending,CBA
2021,9,589c108daf8de,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2021,9,589c20a290af4,6,5,180000,150000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,9,589e05122ba6a,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,9,58a139bd5e920,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,9,58aeac422172a,7,7,210000,210000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,9,58c0c42368902,2,2,60000,60000,NormalAffiliate,FTT >0 Counts,,Rejected,CBA
2021,9,58cb8ed50bf2f,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Pending,ANZ
2021,9,58dfb884c5f1a,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,9,58e4050558778,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2021,9,58e6f9092a31c,1,0,30000,0,NormalAffiliate,FTT >0 Counts,,Pending,ANZ
2021,9,58f41843d0b5c,149,149,5410000,5410000,VIPIIAffiliate,FTT > 100 Counts,,Paid,ANZ
2021,9,5910c331c7e0c,12,12,370000,370000,VIPIAffiliate,10 Counts < FTT <= 100 Counts,,Paid,CBA
2021,9,5911de8fe63bf,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,9,591d35ba5b169,5,5,150000,150000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2021,9,591ec5c4c046e,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Pending,ANZ
2021,9,592793efb1f73,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,9,5956fc2ae95bd,8,8,240000,240000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2021,9,5959ecc75f4f0,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2021,9,595f89198126d,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,9,5982dcba85285,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2021,9,59874c489a104,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,ANZ
2021,9,5987cc9686677,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Rejected,ANZ
2021,9,599267c027ef9,2,2,60000,60000,NormalAffiliate,FTT >0 Counts,,Pending,NAB
2021,9,5992977515b1a,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,NAB
2021,9,59a509d710081,4,4,120000,120000,NormalAffiliate,FTT >0 Counts,,Pending,ANZ
2021,9,59a50b3aaf0bc,2,2,60000,60000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,9,59a50e110685d,12,8,370000,240000,VIPIAffiliate,10 Counts < FTT <= 100 Counts,,Rejected,ANZ
2021,9,59a50ebf13dcd,1,1,30000,30000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
2021,9,59a510311be25,4,4,120000,120000,NormalAffiliate,FTT >0 Counts,,Paid,CBA
